timestamp,event_type,ip_address,user_agent,referrer,page,filename,file_type,result_type,confidence
2025-07-02T09:49:10.721600,analysis_completed,172.31.128.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,_scene_blueship_202506061934_g60i5.mp4,video,video_not_implemented,0.0
2025-07-02T09:50:34.515146,page_visit,172.31.128.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar2i3%3A,home,,,,
2025-07-02T09:52:18.149974,analysis_completed,172.31.128.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,_scene_blueship_202506061934_g60i5.mp4,video,video_not_implemented,0.0
2025-07-02T09:52:21.121697,page_visit,172.31.128.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",,home,,,,
2025-07-02T09:52:27.734994,analysis_completed,172.31.128.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/,,_scene_blueship_202506061934_g60i5.mp4,video,video_not_implemented,0.0
2025-07-02T09:54:15.820325,page_visit,172.31.128.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar339%3A,home,,,,
2025-07-02T22:14:35.511597,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Arpg%3A,home,,,,
2025-07-02T22:15:38.457635,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar69%3A,home,,,,
2025-07-02T22:15:38.547593,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",https://88202e86-1112-4eb8-8db4-57aeb2268c44-00-21gdf9p048c5i.spock.replit.dev/__replco/workspace_iframe.html?initialPath=%2F&id=%3Ar6l%3A,home,,,,
2025-07-02T22:16:11.308682,page_visit,172.31.128.87,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",,home,,,,
